Location Name,Work Performed Date,Location Address,Issue,Description,Labor Cost,Material Cost,Total Cost,Location
Baker Annex,02/24/2015,670 Waseca Street,Graffiti,Graffiti on Bldg.,114.55,32.81,147.36,"(44.9258461, -93.0942688)"
Bruce Vento Nature Sanctuary,02/24/2015,4th and Commericial,Graffiti,Graffiti in park and on Commercial St Bldg.,171.82,71.72,243.54,"(44.953495, -93.0745392)"
Harriet Island Showboat,02/26/2015,110 Harriet Island Rd,Graffiti,Graffiti on light fixtures and in the restroom,54.20,24.50,78.70,"(44.9409103, -93.0908051)"
Raspberry Island,02/26/2015,2 Wabasha St S,Graffiti,Graffiti on light fixtures and in the restroom,54.20,14.50,68.70,"(44.942234, -93.0911179)"
Harriet Island Pavilion Wigington,03/02/2015,200 Dr Justice Ohage Blvd,Graffiti,Grafiiti on the levee wall opening,108.40,59.00,167.40,"(44.9376183, -93.097374)"
Raspberry Island,03/02/2015,2 Wabasha St S,Graffiti,Graffiti on the Raspbery Entrance stairwell,27.10,7.25,34.35,"(44.942234, -93.0911179)"
Mississippi River Blvd,03/05/2015,Mississippi River Boulevard,Graffiti,Clean Sentinel sculputure on MRB Graffiti,54.20,4.75,58.95,
Western Park,03/05/2015,387 Marion St,Graffiti,Graffiti Harmony VII back of park,54.20,4.75,58.95,"(44.9530983, -93.1097107)"
Lilydale Regional Park,03/10/2015,400 Water St,Graffiti,"graffiti in Lilydale E of large sign, near Water St",54.20,24.75,78.95,"(44.9202843, -93.1216736)"
Sam Morgan Trail,03/10/2015,,Graffiti,Graffiti on the wall at Upper Landing next to dog park,108.40,54.50,162.90,"(44.9373589, -93.1058578)"
Overlook Park,03/11/2015,Ramsey & Summit,Graffiti,Remove graffiti from stone base of New York Eagle ,54.20,14.75,68.95,"(44.9414253, -93.1178436)"
Linwood Recreation Center,03/13/2015,860 St Clair Ave,Graffiti,Graffiti on south side of Building,81.30,57.13,138.43,"(44.9340782, -93.1364365)"
Linwood Recreation Center,03/16/2015,860 St Clair Ave,Graffiti,Graffiti on steps and West side of building,108.40,9.50,117.90,"(44.9340782, -93.1364365)"
Newell Park,03/17/2015,900 N Fairview Ave,Graffiti,Graffiti on barbacue grill ,60.35,13.48,73.83,"(44.9681816, -93.1771164)"
Como Regional Park,03/17/2015,1281 1/2 W Como Blvd,Graffiti,Graffiti on walk bridge in Outdoor Classroom,60.35,13.48,73.83,"(44.9793358, -93.1445923)"
Two River Overlook,03/18/2015,Shepard Rd & Hwy 5,Graffiti,Graffiti on stone sculpture,54.20,4.75,58.95,"(44.8957481, -93.1786423)"
Highland Picnic,03/20/2015,1227 Montreal Ave,Graffiti,Graffiti on tot lot equipment,57.27,24.12,81.39,"(44.9125061, -93.152298)"
Highland Picnic,03/20/2015,1227 Montreal Ave,Graffiti,Graffiti on play equipment,57.27,22.38,79.65,"(44.9125061, -93.152298)"
Lilydale Regional Park,03/23/2015,400 Water St,Graffiti,Graffiti on Pump house near RR bridge,114.55,68.23,182.78,"(44.9202843, -93.1216736)"
Lilydale Regional Park,03/27/2015,400 Water St,Graffiti,Graffiti on Pump house near RR bridge,114.55,64.75,179.30,"(44.9202843, -93.1216736)"
Harriet Island Pavilion Wigington,03/27/2015,200 Dr Justice Ohage Blvd,Graffiti,graffiti on electrical box,57.27,24.12,81.39,"(44.9376984, -93.0974197)"
Mississippi River Blvd,03/27/2015,Mississippi River Boulevard,Graffiti,graffiti on park benches located on MRB N of Goodrich,114.55,24.75,139.30,"(44.9381752, -93.1978455)"
Western Park,03/30/2015,387 Marion St,Graffiti,Grafffiti on art in Western park,54.20,14.75,68.95,"(44.9530983, -93.1097107)"
Ryan Park,03/31/2015,618 N Avon St,Graffiti,Graffiti on playground equipment,60.35,23.48,83.83,"(44.9598656, -93.1338806)"
Front Rec Center,04/03/2015,485 Stinson St,Graffiti,"Graffiti on back and roof of building, side of old ramp, and on doors and windows",,,,"(44.9693336, -93.1205444)"
Meeker Island,04/06/2015,,Graffiti,Please wipe sign clean,30.17,11.74,41.92,"(44.9541931, -93.2076645)"
Como Regional Park,04/06/2015,1281 1/2 W Como Blvd,Graffiti,Remove graffiti from play area,,,,"(44.9793358, -93.1445923)"
Highland Park,04/07/2015,1247 Montreal Ave,Graffiti,Graffiti at Hamline and Edcumbe on wooden bench and bridge,60.35,23.48,83.83,"(44.9125099, -93.1530304)"
Pickerel Lake,04/07/2015,400 Water St,Graffiti,Graffiti at Pickerel Lake by the turn around,60.35,13.48,73.83,"(44.9202843, -93.1216736)"
Cherokee Park,04/07/2015,777 Chippewa St.,Graffiti,Graffiti on tables at Charokee,30.17,20.00,50.18,"(44.9225731, -93.1071167)"
Dousman,04/07/2015,Goodhue & Dousman,Graffiti,"Graffiti on slides at Dousman, derogatory",30.17,21.74,51.92,"(44.9362793, -93.1125031)"
Citywide Graffiti ,04/07/2015,1001 Orchard Ave,Graffiti,Graffiti on shed at 1001 Orchard,30.17,21.74,51.92,"(44.9725113, -93.142395)"
Two River Overlook,04/10/2015,Shepard Rd & Hwy 5,Graffiti,Graffiti on stone monument,27.10,22.38,49.48,"(44.8957405, -93.1786423)"
Harriet Island Pavilion Wigington,04/10/2015,200 Dr Justice Ohage Blvd,Graffiti,Graffiti on bench on the levee,27.10,22.38,49.48,"(44.937645, -93.0973129)"
Iris Park,04/10/2015,489 W Lynhurst Ave,Graffiti,Graffiti on garbage cans,,,,"(44.9557304, -93.180748)"
Highland Park,04/13/2015,1247 Montreal Ave,Graffiti,Graffiti on pedestrial bridge,,,,"(44.9125099, -93.1530304)"
Crosby Regional Park,04/15/2015,35 E & Sheppard Road,Graffiti,Graffiti on wall of fire pit,54.20,24.75,78.95,"(44.9108582, -93.1436844)"
Highland Park Restroom Building,04/15/2015,1227 Montreal Ave,Graffiti,Graffiti on restroom door,27.10,12.38,39.48,"(44.9125061, -93.152298)"
Como Regional Park,04/15/2015,1281 1/2 W Como Blvd,Graffiti,Graffiti on pavement at W Picnic Shelter/Trees,81.30,27.13,108.43,"(44.9793358, -93.1445923)"
Shepard Road,04/21/2015,1310 Shepard Rd,Graffiti,Graffiti South of parking lot on the trail and rock,54.20,14.75,68.95,"(44.9195366, -93.1306686)"
Bluff Park,04/21/2015,689 Brown Ave,Graffiti,Graffiti in park,54.20,24.75,78.95,"(44.92519, -93.0710144)"
Summit & Mississippi River Blvd,04/21/2015,3 N Mississippi River Blvd,Graffiti,Graffiti on planters at Summit Bridge at Ayd Mill Rd,54.20,14.75,68.95,"(44.9412193, -93.197937)"
Bruce Vento Nature Sanctuary,04/21/2015,4th and Commericial,Graffiti,Graffiti at 4th & Commercial on electric box and portapotty,54.20,14.75,68.95,"(44.953495, -93.0745392)"
Bruce Vento Nature Sanctuary,04/21/2015,4th and Commericial,Graffiti,"Griffiti on Beaumont Tunnel, RR bridge W of Herritage Park and on Path below Herritage Park",108.40,69.50,199.90,"(44.953495, -93.0745392)"
Linwood Recreation Center,04/27/2015,860 St Clair Ave,Graffiti,Graffiti on South Patio,27.10,22.38,49.48,"(44.9340782, -93.1364365)"
Linwood Recreation Center,04/27/2015,860 St Clair Ave,Graffiti,Graffiti by garage and outside wall of building,27.10,22.38,49.48,"(44.9340782, -93.1364365)"
Phalen Lakeside Activity Center,04/27/2015,1530 Phalen Dr,Graffiti,Graffiti on the exterior of the building,27.10,12.38,39.48,"(44.9885216, -93.0571747)"
Como Regional Park,04/28/2015,1281 1/2 W Como Blvd,Graffiti,Graffiti tag SE bridge abutment of the Como Streetcar Bridge,54.20,24.75,78.95,"(44.9793358, -93.1445923)"
Lewis Park,04/29/2015,181 Wayzata St,Graffiti,Profane graffiti on the splash pad,81.30,27.13,108.43,"(44.9690704, -93.1076965)"
Harriet Island Pavilion Wigington,05/05/2015,200 Dr Justice Ohage Blvd,Graffiti,Graffiti on W side of the great stairs,108.40,24.50,132.90,"(44.9376564, -93.0974426)"
Mississippi River Blvd,05/06/2015,Mississippi River Boulevard,Graffiti,Graffiti on walls both sides at Stanford,81.30,35.22,116.52,
Harriet Island Pavilion Wigington,05/06/2015,200 Dr Justice Ohage Blvd,Graffiti,Graffiti by entrance and on Harriet Island sign,54.20,24.75,78.95,"(44.9376373, -93.0974045)"
Mississippi River Blvd,05/06/2015,200 Mississippi River Blvd N,Graffiti,"200 MRB North, graffiti",54.20,13.48,67.68,"(44.9471245, -93.1990433)"
Weida Park,05/06/2015,637 Burr St,Graffiti,Graffiti on cement platform W of tot lot,54.20,14.75,68.95,"(44.9604874, -93.0798569)"
Kelly's Landing,05/07/2015,,Graffiti,Graffiti,54.20,34.75,88.95,"(44.9360847, -93.0993576)"
Raspberry Island,05/07/2015,2 Wabasha St S,Graffiti,Graffiti in band shell,108.40,49.50,157.90,"(44.942234, -93.0911179)"
Lexington Parkway,05/07/2015,395 N Lexington Pkwy,Graffiti,Graffiti in tunnel,60.35,23.48,83.83,"(44.9531288, -93.1468353)"
Chesnut Plaza,05/08/2015,178 Shepard Rd,Graffiti,Graffiti and damage to the electrical covers along path,54.20,24.75,78.95,"(44.9412575, -93.0980911)"
Citywide Graffiti ,05/11/2015,4th and Commericial,Graffiti,"4th and Commercial, Lower town Depot graffiti on walls",114.55,83.23,197.78,"(44.953495, -93.0745392)"
Lilydale Regional Park,05/12/2015,400 Water St,Graffiti,Tree stump and rock tagged,54.20,24.75,78.95,"(44.9202843, -93.1216736)"
Lexington Parkway,05/12/2015,395 N Lexington Pkwy,Graffiti,Graffiti in tunnel,60.35,23.48,83.83,"(44.9531288, -93.1468353)"
Como Regional Park,05/13/2015,1281 1/2 W Como Blvd,Graffiti,Graffiti on walls around picnic shelter,54.20,24.75,78.95,"(44.9793358, -93.1445923)"
Scheffer Rec Center,05/15/2015,237 Thomas Ave,Graffiti,more graffiti,27.10,12.38,39.48,"(44.9594383, -93.1101227)"
Swede Hollow ,05/15/2015,651 Greenbrier St E,Graffiti,Graffiti in the monument area,54.20,24.75,78.95,"(44.9606361, -93.0711212)"
Harriet Island Pavilion Wigington,05/18/2015,200 Dr Justice Ohage Blvd,Graffiti,Graffiti on electrical box behind target stage,57.27,24.12,81.39,"(44.9376678, -93.0973358)"
Hidden Falls South,05/19/2015,MISSISSIPPI RIVER & Prior,Graffiti,Graffiti on pavilion wall and out side of storage  portion wall,114.55,33.23,147.78,"(44.8968506, -93.1823196)"
Scheffer Rec Center,05/20/2015,237 Thomas Ave,Graffiti,2 N doors have profanity and other works etched on doors,54.20,14.75,68.95,"(44.9594383, -93.1101227)"
Phalen Regional Park,05/20/2015,Wheelock Pkwy & Phalen Dr,Graffiti,painted arrows on path closest to lake,189.70,46.63,236.33,"(44.9822617, -93.0558243)"
Edgcumbe Rec Center,05/21/2015,320 S Griggs St,Graffiti,Graffiti outside of gym door,27.10,12.38,39.48,"(44.9507332, -93.1516418)"
Lambert Landing,05/22/2015,260 Warner Road,Graffiti,Graffiti on the wall by Lambert Landing,54.20,14.75,68.95,"(44.9468651, -93.0827103)"
Baker Community Center,05/26/2015,209 W Page Street,Graffiti,Graffiti on tennis courts and tables,54.20,24.75,78.95,"(44.9247093, -93.0943832)"
Phalen Beach House,05/26/2015,1400 Phalen Dr,Graffiti,Graffiti on back side of beach house,54.20,14.75,68.95,"(44.983757, -93.0556412)"
Harriet Island Pavilion Wigington,05/27/2015,200 Dr Justice Ohage Blvd,Graffiti,Pole on Water St side of entrance has graffiti on it,54.20,24.75,78.95,"(44.9373169, -93.0946503)"
Wabasha Bridge,05/27/2015,Wabasha & Water,Graffiti,Graffiti on S end of bridge walkway,54.20,44.75,98.95,"(44.9399223, -93.0898743)"
Lexington Parkway,05/27/2015,395 N Lexington Pkwy,Graffiti,Graffiti on electrical box SW side of Lexington/jessamine,60.35,13.48,73.83,"(44.9531288, -93.1468353)"
Rice Rec Teen Zone,05/27/2015,1021 Marion St,Graffiti,Graffiti on the wall corner of Marion and Lawson,54.20,4.75,58.95,"(44.9721832, -93.1098557)"
Forestry Building,05/27/2015,1120 N Hamline,Graffiti,NW face of Forestry Building has been tagged,54.20,19.75,73.95,"(44.9746704, -93.1567383)"
Marydale Park,05/27/2015,1120 N Dale St,Graffiti,Graffiti on dock,27.10,12.38,39.48,"(44.9754715, -93.1219788)"
Furness Parkway,05/27/2015,Furness Parkway,Graffiti,"graffiti on stop signs on Furness Parkway, Orange, Hawthorne and Hyacinth",54.20,14.75,68.95,"(44.9792862, -93.0188217)"
Como Regional Park,05/27/2015,1281 1/2 W Como Blvd,Graffiti,Graffiti on picnic tables at W picnic grounds near restrooms,27.10,12.38,39.48,"(44.9793358, -93.1445923)"
Como Regional Park,05/27/2015,1281 1/2 W Como Blvd,Graffiti,"Como classroom Bridge, large graffiti",323.50,56.46,379.96,"(44.9793358, -93.1445923)"
Cherokee Park Restroom ,05/29/2015,777 Chippewa St.,Graffiti,Graffiti on mens restroom,54.20,14.75,68.95,"(44.9225731, -93.1071167)"
Lexington Parkway,05/29/2015,395 N Lexington Pkwy,Graffiti,Graffiti in the Lexington Tunnel and train bridge (South side),60.35,13.48,73.83,"(44.9531288, -93.1468353)"
Central Services Facility,05/29/2015,1100 N Hamline Ave,Graffiti,Graffiti on cold storage garage along Hamline,54.20,24.75,78.95,"(44.9742584, -93.1564255)"
Como Regional Park,05/29/2015,1281 1/2 W Como Blvd,Graffiti,"Graffiti attact including Horton/Beulah, Street Car Bridge, woodland classroom signs, como pool trash inclosures, machine shed @ shops, forestry garage, McMurray bench, and arrow signs on Beulah and Wynne",216.80,66.46,283.26,"(44.9793358, -93.1445923)"
Swede Hollow ,06/05/2015,651 Greenbrier St E,Graffiti,Graffiti on load and pack in parking lot,27.10,12.38,39.48,"(44.9606361, -93.0711212)"
McMurray Fields,06/05/2015,1155 W Jessamine Ave,Graffiti,"Graffiti on utility poles, trash dumpster and portable restroom",54.20,4.75,58.95,"(44.9739189, -93.149025)"
McMurray Fields,06/08/2015,1155 W Jessamine Ave,Graffiti,Graffiti on Portable toliet on Jessamine side,54.20,4.75,58.95,"(44.9739189, -93.149025)"
Highland Pool Building,06/12/2015,1259 Montreal Ave,Graffiti,Graffiti on old pool building at Highland,27.10,42.38,69.48,"(44.9125099, -93.1534729)"
Crosby Regional Park,06/15/2015,35 E & Sheppard Road,Graffiti,"Grafffiti on Crosby Mens room, inside of door and wall",54.20,34.75,88.95,"(44.9108505, -93.143692)"
Crosby Regional Park,06/16/2015,35 E & Sheppard Road,Graffiti,remove graffiti from restroom building,54.20,4.75,58.95,"(44.9108238, -93.1435394)"
Citywide Graffiti ,06/16/2015,Cherokee and Smith ,Graffiti,"Graffiti on sign, Cherokee E of Smith by Highbridge",27.10,22.38,49.48,"(44.930706, -93.1021042)"
Citywide Graffiti ,06/18/2015,878 W 7th St,Graffiti,"Graffiti at 876 W 7th, DSI Complaints issued to this location",90.52,350.22,442.75,"(44.9297676, -93.1236115)"
Mounds Park Pavilion,06/22/2015,1060 Mounds Blvd,Graffiti,"Mounds Mens room, bad words on walls, ",61.41,3.48,64.89,"(44.9461021, -93.0556183)"
Linwood Park,06/23/2015,886 St Clair Ave,Graffiti,Linwood Upper parking lot has graffiti,54.20,44.75,98.95,"(44.9341011, -93.1376877)"
Newell Park,06/23/2015,900 N Fairview Ave,Graffiti,"Graffiti on shelter posts, dumpster, light poles",108.40,69.50,177.90,"(44.9681816, -93.1771164)"
Hidden Falls Reg. Pk.,06/24/2015,1313 Hidden Falls Dr,Graffiti,Graffiti at 2 picnic tables and on mens room door,114.55,48.23,162.78,"(44.9059944, -93.1904831)"
Crosby Regional Park,06/24/2015,35 E & Sheppard Road,Graffiti,Graffiti on drinking fountain,27.10,10.00,37.10,"(44.910862, -93.1436462)"
Cherokee Park,06/24/2015,777 Chippewa St.,Graffiti,"Graffiti on load and pac by tot lot, also on light pole",343.65,104.69,448.34,"(44.9225731, -93.1071167)"
Citywide Graffiti ,06/24/2015,Washington to High Bridge,Graffiti,Work with RR Flag Man to remove graffiti along Shepard Road from Washington to High Bridge,90.52,207.40,297.93,"(44.9376259, -93.1091995)"
Duluth & Case Rec Center,06/25/2015,1020 Duluth St,Graffiti,"Duluth & Case, graffiti on walls and windows",27.10,22.38,49.48,"(44.9720955, -93.0506744)"
Ames Lake,06/25/2015,1380 Magnolia Ave,Graffiti,Park bench at Ames Lake has graffiti on it,30.17,11.74,41.92,"(44.9738731, -93.0421982)"
Citywide Graffiti ,06/25/2015,1224 Galtier St,Graffiti,"1224 Galtier, graffiti on sidewalk, tree and in street",27.10,32.38,59.48,"(44.9780846, -93.1109695)"
Ames Lake,06/26/2015,1380 Magnolia Ave,Graffiti,City trash cans on N side of Ames Lake has graffiti on them,60.35,23.48,83.83,"(44.9738731, -93.0421982)"
SW Maintenance Facility,06/30/2015,864 Snelling Ave S,Graffiti,remove graffiti off the barrels,27.10,10.00,37.10,"(44.9152107, -93.1669617)"
Lilydale Regional Park,07/01/2015,400 Water St,Graffiti,Vulgar language on the boulder rock in the meadian nar Lilydale Road,108.40,8.23,116.63,"(44.9202843, -93.1216736)"
Cherokee Park,07/01/2015,777 Chippewa St.,Graffiti,Graffiti on middle table at Cherokee Park small Shelter,27.10,12.38,39.48,"(44.9225731, -93.1071167)"
Baker Rec Center,07/01/2015,670 Waseca Street,Graffiti,Graffiti on South wall of building along the stairs,27.10,22.38,49.48,"(44.9258461, -93.0942688)"
Summit & Mississippi River Blvd,07/01/2015,3 N Mississippi River Blvd,Graffiti,graffiti on sign and portapottie at Summit Overlook & MRB,54.20,4.75,58.95,"(44.9412193, -93.197937)"
Rice Park,07/01/2015,106 W 5th St,Graffiti,Remove graffiti from green electrical cabinet in Rice Park,27.10,12.38,39.48,"(44.9450684, -93.0974655)"
Highland Park Restroom Building,07/02/2015,1227 Montreal Ave,Graffiti,Graffiti on north side of Highland Shelter bathroom building,54.20,84.75,138.95,"(44.9125061, -93.152298)"
Hidden Falls South,07/08/2015,MISSISSIPPI RIVER & Prior,Graffiti,graffiti on Men's room stall and picnic tables at Hidden falls shelter,27.10,22.38,49.48,"(44.8968506, -93.1823196)"
Highland Picnic Pavilion,07/08/2015,1200 Montreal Ave,Graffiti,graffiti at Highland Pavilion NE corner of picnic area,54.20,11.88,66.08,"(44.9123917, -93.1513443)"
Highland Picnic Shelter,07/08/2015,1200 Montreal Ave,Graffiti,graffiti on picnic table NE corner of Highland Shelter,27.10,2.38,29.48,"(44.9123917, -93.1513443)"
Como Regional Park,07/08/2015,1281 1/2 W Como Blvd,Graffiti,Graffiti on Lexington pedestrian bridge,325.20,109.38,434.58,"(44.9793358, -93.1445923)"
Crosby Regional Park,07/09/2015,35 E & Sheppard Road,Graffiti,Crosby shelter has graffiti,114.55,28.23,142.78,"(44.9108429, -93.1436844)"
Hamline Playground,07/09/2015,1559 Thomas Ave,Graffiti,remove graffiti from building at Hamline playground,54.20,4.75,58.95,"(44.9593201, -93.1661758)"
Edgcumbe Road,07/10/2015,Edgcumbe & Hamline,Graffiti,Graffiti on bench and street sign east of Edgecumbe Road bridge at Hamline,57.27,34.12,91.39,"(44.9145012, -93.1568375)"
Mississippi River Blvd,07/10/2015,Mississippi River Boulevard,Graffiti,MRB and Summit - Silly string on monument by the overlook,27.10,2.38,29.48,"(44.9417458, -93.1985016)"
Mounds Park Pavilion,07/10/2015,1060 Mounds Blvd,Graffiti,remove graffiti from pillar at Mounds Park large shelter,27.10,12.38,39.48,"(44.9461021, -93.0556183)"
Como Regional Park,07/10/2015,1281 1/2 W Como Blvd,Graffiti,west picnic grounds tables full og graffiti,54.20,4.75,58.95,"(44.9793358, -93.1445923)"
Cherokee Park,07/13/2015,777 Chippewa St.,Graffiti,Graffiti tags on playground equipment,57.27,4.12,61.39,"(44.9225731, -93.1071167)"
Cherokee Park,07/13/2015,777 Chippewa St.,Graffiti,graffiti on backside of tennis court wall at Cherokee and Baker and on bike trail between Cherokee and Baker,85.91,26.17,112.09,"(44.9225731, -93.1071167)"
Mississippi River Blvd,07/13/2015,Jeffereson and Standford,Graffiti,"two stone walls along Mississippi River Blvd path, intersections of Jefferson and Standford",57.27,4.12,61.39,"(44.9309807, -93.197937)"
Prosperity Rec Center,07/13/2015,1371 Kennard St,Graffiti,Paint needed in women's restroom to cover graffiti,27.10,22.38,49.48,"(44.9826698, -93.030426)"
Hidden Falls Reg. Pk.,07/14/2015,1313 Hidden Falls Dr,Graffiti,Boat launch sign has graffiti on it,27.10,42.38,69.48,"(44.9059944, -93.1904831)"
Highland Park,07/14/2015,1247 Montreal Ave,Graffiti,please remove graffiti from Highland Park picnic area,114.55,8.23,122.78,"(44.9125099, -93.1530304)"
Como Regional Park,07/14/2015,1281 1/2 W Como Blvd,Graffiti,graffiti on sidewalk next to tot lot and 3 picnic tables west of tot lot,54.20,4.75,58.95,"(44.9793358, -93.1445923)"
Langford Park Rec Center,07/15/2015,30 Langford Park,Graffiti,graffiti on South side on cement base of bandstand at Langeford Park,54.20,34.75,88.95,"(44.9764519, -93.1956787)"
Cherokee Park,07/16/2015,777 Chippewa St.,Graffiti,Graffiti on Showboat ticket booth,85.91,6.17,92.09,"(44.9225731, -93.1071167)"
Cherokee Park,07/16/2015,777 Chippewa St.,Graffiti,graffiti on Showboat ticketbooth saying Lord Jesus saves,85.91,6.17,92.09,"(44.9225731, -93.1071167)"
Griggs Recreation Center,07/16/2015,1188 Hubbard Ave,Graffiti,"spray paint on the back wall by the basketball courts, and someone etched profanity in the glass window of the back door",114.55,8.23,122.78,"(44.9656296, -93.1503754)"
Marydale Park,07/16/2015,1120 N Dale St,Graffiti,Graffiti on men's restroom door and on the floor,57.27,4.12,61.39,"(44.9754715, -93.1219788)"
Phalen Park Picnic Pavilion,07/16/2015,1600 Phalen Dr ,Graffiti,gang graffiti on new fishing dock behind Phalen Pavilion,85.91,66.17,152.09,"(44.9900475, -93.0604477)"
Griggs Recreation Center,07/18/2015,1188 Hubbard Ave,Graffiti,graffiti painted on South outside wall at Griggs,114.55,8.23,122.78,"(44.9656296, -93.1503754)"
Lilydale Regional Park,07/20/2015,400 Water St,Graffiti,"Lots of tags on signs, walls, bridges etc.",90.52,155.22,245.75,"(44.9202843, -93.1216736)"
Lilydale Regional Park,07/20/2015,400 Water St,Graffiti,graffiti at Weida Park on side walk West of tot lot and a bench by the small tot lot,40.65,43.56,84.21,"(44.9202843, -93.1216736)"
Phalen Regional Park,07/21/2015,Wheelock Pkwy & Phalen Dr,Graffiti,"graffiti on bridge on North end of lake, near boat launch, lso on path at East shore Dr and Brighton",57.27,24.12,81.39,"(44.9822617, -93.0558243)"
Crosby Regional Park,07/24/2015,35 E & Sheppard Road,Graffiti,Graffiti at Crosby in men's room and on picnic tables,27.10,22.38,49.48,"(44.9108429, -93.1437073)"
Hidden Falls Reg. Pk.,07/27/2015,1313 Hidden Falls Dr,Graffiti,graffiti on the picnic table at Hidden Falls shelter,27.10,22.38,49.48,"(44.9059944, -93.1904831)"
Lexington Parkway,07/28/2015,395 N Lexington Pkwy,Graffiti,remove graffiti from Lexington Tunnel,30.17,66.74,96.92,"(44.9531288, -93.1468353)"
Lexington Parkway,07/28/2015,395 N Lexington Pkwy,Graffiti,remove graffiti from the irrigation box at Lexington and Dayton in median,30.17,26.74,56.92,"(44.9531288, -93.1468353)"
McMurray Field Building,07/28/2015,1155 W Jessamine Ave,Graffiti,remove graffiti from South side on Xcel transformer near Jessamine and Lexington ,30.17,26.74,56.92,"(44.9739189, -93.149025)"
Dayton's Bluff Rec Center,07/29/2015,800 Conway St,Graffiti,remove graffiti from the front of building at Dayton's Bluff Rec Ctr,13.55,1.19,14.74,"(44.9551315, -93.06604)"
Lilydale Regional Park,07/30/2015,400 Water St,Graffiti,"Lilydale stone monument was tagged, also the silly tree stump",54.20,44.75,98.95,"(44.9202843, -93.1216736)"
Conway Rec Center,07/30/2015,2090 Conway Ave,Graffiti,remove graffiti from building at Conway Rec Ctr,108.40,59.50,167.90,"(44.955822, -93.0121994)"
Swede Hollow ,07/30/2015,651 Greenbrier St E,Graffiti,remove graffit on the monument where the plaque was stolen in Swede Hollow,54.20,34.75,88.95,"(44.9606361, -93.0711212)"
Summit & Mississippi River Blvd,08/04/2015,3 N Mississippi River Blvd,Graffiti,Summit and MRB graffiti on park rules and hours sign,54.20,24.75,78.95,"(44.9412193, -93.197937)"
Duluth & Case Rec Center,08/05/2015,1020 Duluth St,Graffiti,remove graffiti from bench's,27.10,12.38,39.48,"(44.9720955, -93.0506744)"
Lilydale Regional Park,08/06/2015,400 Water St,Graffiti,"Graffiti in Lilydale park, entrance gate into the brickyard",40.65,20.00,60.65,"(44.9202843, -93.1216736)"
Mississippi River Blvd,08/06/2015,Mississippi River and Randolph,Graffiti,clean up graffiti at MRB and Randolph,54.20,24.75,78.95,"(44.9270515, -93.196785)"
Merriam Park Rec Center,08/06/2015,2000 St. Anthony Ave,Graffiti,graffiti on the North end outer wall of the skate park,27.10,42.38,69.48,"(44.9527283, -93.1845779)"
Mississippi River Blvd,08/07/2015,Mississippi River Boulevard,Graffiti,"graffiti at MRB and Randolph, MRB and Stanford Court Bridge (west side of bldg) MRB and Stanford Court Bridge, MRB and Goodich Bridge, and MRB South of Summit East and West sides",114.55,18.23,132.78,"(44.9326591, -93.1983032)"
Newell Park,08/07/2015,900 N Fairview Ave,Graffiti,remove graffiti from dumpster,54.20,44.75,98.95,"(44.9681816, -93.1771164)"
Summit Overlook,08/10/2015,408 Summit Ave,Graffiti,"Light pole on the left side of path is painted white, also West side of wall and some on the iron fence along the path",229.10,76.46,305.56,"(44.9417648, -93.1171036)"
Como Regional Park,08/10/2015,1281 1/2 W Como Blvd,Graffiti,graffiti on path near pedestrian bridge,229.10,56.46,285.56,"(44.9793358, -93.1445923)"
Como Regional Park,09/11/2015,1281 1/2 W Como Blvd,Graffiti,Graffiti on bench at duck point,27.10,5.00,32.10,"(44.9793358, -93.1445923)"
Highland Park,08/11/2015,1247 Montreal Ave,Graffiti,"graffiti on Highland Shelter Restroom building, also some on footbridge",27.10,32.38,59.48,"(44.9125099, -93.1530304)"
Mississippi River Blvd,08/11/2015,Mississippi River and St. Clair,Graffiti,Graffiti at MRB and St Clair,27.10,2.38,29.48,"(44.9343109, -93.1984024)"
Bruce Vento Nature Sanctuary,08/11/2015,4th and Commericial,Graffiti,graffiti on electrical box by parking lot,27.10,22.38,49.48,"(44.953495, -93.0745392)"
Marydale Park,08/12/2015,1120 N Dale St,Graffiti,graffiti all over Marydale park,108.40,69.50,177.90,"(44.9754715, -93.1219788)"
Duluth & Case Rec Center,08/16/2015,1020 Duluth St,Graffiti,Graffiti on benches,27.10,12.38,39.48,"(44.9720955, -93.0506744)"
Western Park,08/18/2015,387 Marion St,Graffiti,remove graffiti from Harmony V at Western Park,81.30,7.13,88.43,"(44.9530983, -93.1097107)"
Highland Park Restroom Building,08/19/2015,1227 Montreal Ave,Graffiti,"graffiti on sidewalk, and both sides of Highland Shelter Bathroom building",40.65,20.00,64.21,"(44.9125061, -93.152298)"
Linwood Recreation Center,08/19/2015,860 St Clair Ave,Graffiti,graffiti on patio above garage,54.20,60.00,114.20,"(44.9340782, -93.1364365)"
Ryan Park,08/19/2015,618 N Avon St,Graffiti,graffiti on picnic table in the center of park,27.10,22.38,49.48,"(44.9598656, -93.1338806)"
Marydale Park,08/19/2015,1120 N Dale St,Graffiti,Graffiti on maintenance closet door,27.10,12.38,39.48,"(44.9754715, -93.1219788)"
Raspberry Island,08/20/2015,2 Wabasha St S,Graffiti,Graffiti on electrical box under Wabasha Bridge,54.20,3.48,57.68,"(44.942234, -93.0911179)"
Como Pool,08/21/2015,1156 Horton Ave,Graffiti,Graffiti on signs for Como Pool,27.10,1.74,28.84,"(44.977459, -93.1488724)"
