Contest,PrecinctName,VotingType,Choice,Party,Votes,VotesPercent,TotalVotes,TotalVotesPercent,CastTotal,CastTotalPercent,MainTotal,MainTotalPercent,UnderVotes,UnderVotesPercent,TotalUnderVotes,TotalUnderVotesPercent,OverVotes,OverVotesPercent,TotalOverVotes,TotalOverVotesPercent,InvalidVotes,InvalidVotesPercent,TotalInvalidVotes,TotalInvalidVotesPercent,RejectedWriteInVotes,RejectedWriteInVotesPercent,TotalRejectedWriteInVotes,TotalRejectedWriteInVotesPercent,UnresolvedWriteInVotes,UnresolvedWriteInVotesPercent,TotalUnresolvedWriteInVotes,TotalUnresolvedWriteInVotesPercent
Council Member City of Saint Paul Ward Two 2nd Choice - Select One,Saint Paul W-2 P-14,Absentee Voting,Sharon Anderson,,1,2.17%,32,6.26%,32,69.57%,344,67.32%,14,30.43%,167,32.68%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 2nd Choice - Select One,Saint Paul W-2 P-14,Election Day Voting,Sharon Anderson,,31,6.67%,32,6.26%,312,67.10%,344,67.32%,153,32.90%,167,32.68%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 2nd Choice - Select One,Saint Paul W-2 P-14,Absentee Voting,Lindsay Ferris Martin,,7,15.22%,100,19.57%,32,69.57%,344,67.32%,14,30.43%,167,32.68%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 2nd Choice - Select One,Saint Paul W-2 P-14,Election Day Voting,Lindsay Ferris Martin,,93,20.00%,100,19.57%,312,67.10%,344,67.32%,153,32.90%,167,32.68%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 5th Choice - Select One,Saint Paul W-2 P-14,Absentee Voting,Helen Meyers,,3,6.52%,16,3.13%,12,26.09%,173,33.86%,34,73.91%,338,66.14%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 5th Choice - Select One,Saint Paul W-2 P-14,Election Day Voting,Helen Meyers,,13,2.80%,16,3.13%,161,34.62%,173,33.86%,304,65.38%,338,66.14%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 5th Choice - Select One,Saint Paul W-2 P-14,Absentee Voting,Rebecca Noecker,,5,10.87%,47,9.20%,12,26.09%,173,33.86%,34,73.91%,338,66.14%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 5th Choice - Select One,Saint Paul W-2 P-14,Election Day Voting,Rebecca Noecker,,42,9.03%,47,9.20%,161,34.62%,173,33.86%,304,65.38%,338,66.14%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 5th Choice - Select One,Saint Paul W-2 P-14,Absentee Voting,Bill Hosko,,1,2.17%,55,10.76%,12,26.09%,173,33.86%,34,73.91%,338,66.14%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 5th Choice - Select One,Saint Paul W-2 P-14,Election Day Voting,Bill Hosko,,54,11.61%,55,10.76%,161,34.62%,173,33.86%,304,65.38%,338,66.14%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 5th Choice - Select One,Saint Paul W-2 P-14,Absentee Voting,Sharon Anderson,,2,4.35%,29,5.68%,12,26.09%,173,33.86%,34,73.91%,338,66.14%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 5th Choice - Select One,Saint Paul W-2 P-14,Election Day Voting,Sharon Anderson,,27,5.81%,29,5.68%,161,34.62%,173,33.86%,304,65.38%,338,66.14%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 5th Choice - Select One,Saint Paul W-2 P-14,Absentee Voting,Lindsay Ferris Martin,,1,2.17%,26,5.09%,12,26.09%,173,33.86%,34,73.91%,338,66.14%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 5th Choice - Select One,Saint Paul W-2 P-14,Election Day Voting,Lindsay Ferris Martin,,25,5.38%,26,5.09%,161,34.62%,173,33.86%,304,65.38%,338,66.14%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 3rd Choice - Select One,Saint Paul W-2 P-14,Absentee Voting,Helen Meyers,,3,6.52%,45,8.81%,21,45.65%,260,50.88%,25,54.35%,251,49.12%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 3rd Choice - Select One,Saint Paul W-2 P-14,Election Day Voting,Helen Meyers,,42,9.03%,45,8.81%,239,51.40%,260,50.88%,226,48.60%,251,49.12%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 3rd Choice - Select One,Saint Paul W-2 P-14,Absentee Voting,Rebecca Noecker,,9,19.57%,60,11.74%,21,45.65%,260,50.88%,25,54.35%,251,49.12%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 3rd Choice - Select One,Saint Paul W-2 P-14,Election Day Voting,Rebecca Noecker,,51,10.97%,60,11.74%,239,51.40%,260,50.88%,226,48.60%,251,49.12%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 3rd Choice - Select One,Saint Paul W-2 P-14,Absentee Voting,Bill Hosko,,2,4.35%,70,13.70%,21,45.65%,260,50.88%,25,54.35%,251,49.12%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 3rd Choice - Select One,Saint Paul W-2 P-14,Election Day Voting,Bill Hosko,,68,14.62%,70,13.70%,239,51.40%,260,50.88%,226,48.60%,251,49.12%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 3rd Choice - Select One,Saint Paul W-2 P-14,Absentee Voting,Sharon Anderson,,3,6.52%,24,4.70%,21,45.65%,260,50.88%,25,54.35%,251,49.12%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 3rd Choice - Select One,Saint Paul W-2 P-14,Election Day Voting,Sharon Anderson,,21,4.52%,24,4.70%,239,51.40%,260,50.88%,226,48.60%,251,49.12%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 3rd Choice - Select One,Saint Paul W-2 P-14,Absentee Voting,Lindsay Ferris Martin,,4,8.70%,61,11.94%,21,45.65%,260,50.88%,25,54.35%,251,49.12%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 3rd Choice - Select One,Saint Paul W-2 P-14,Election Day Voting,Lindsay Ferris Martin,,57,12.26%,61,11.94%,239,51.40%,260,50.88%,226,48.60%,251,49.12%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 6th Choice - Select One,Saint Paul W-2 P-14,Absentee Voting,Helen Meyers,,0,0.00%,6,1.17%,8,17.39%,117,22.90%,38,82.61%,394,77.10%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 6th Choice - Select One,Saint Paul W-2 P-14,Election Day Voting,Helen Meyers,,6,1.29%,6,1.17%,109,23.44%,117,22.90%,356,76.56%,394,77.10%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 6th Choice - Select One,Saint Paul W-2 P-14,Absentee Voting,Rebecca Noecker,,5,10.87%,35,6.85%,8,17.39%,117,22.90%,38,82.61%,394,77.10%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 6th Choice - Select One,Saint Paul W-2 P-14,Election Day Voting,Rebecca Noecker,,30,6.45%,35,6.85%,109,23.44%,117,22.90%,356,76.56%,394,77.10%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 6th Choice - Select One,Saint Paul W-2 P-14,Absentee Voting,Bill Hosko,,0,0.00%,37,7.24%,8,17.39%,117,22.90%,38,82.61%,394,77.10%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 6th Choice - Select One,Saint Paul W-2 P-14,Election Day Voting,Bill Hosko,,37,7.96%,37,7.24%,109,23.44%,117,22.90%,356,76.56%,394,77.10%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 6th Choice - Select One,Saint Paul W-2 P-14,Absentee Voting,Sharon Anderson,,1,2.17%,14,2.74%,8,17.39%,117,22.90%,38,82.61%,394,77.10%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 6th Choice - Select One,Saint Paul W-2 P-14,Election Day Voting,Sharon Anderson,,13,2.80%,14,2.74%,109,23.44%,117,22.90%,356,76.56%,394,77.10%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 6th Choice - Select One,Saint Paul W-2 P-14,Absentee Voting,Lindsay Ferris Martin,,2,4.35%,25,4.89%,8,17.39%,117,22.90%,38,82.61%,394,77.10%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 6th Choice - Select One,Saint Paul W-2 P-14,Election Day Voting,Lindsay Ferris Martin,,23,4.95%,25,4.89%,109,23.44%,117,22.90%,356,76.56%,394,77.10%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
City Question 1,Saint Paul W-2 P-14,Absentee Voting,Yes,,23,50.00%,247,48.34%,46,100.00%,503,98.43%,0,0.00%,8,1.57%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
City Question 1,Saint Paul W-2 P-14,Election Day Voting,Yes,,224,48.17%,247,48.34%,457,98.28%,503,98.43%,8,1.72%,8,1.57%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
City Question 1,Saint Paul W-2 P-14,Absentee Voting,No,,23,50.00%,256,50.10%,46,100.00%,503,98.43%,0,0.00%,8,1.57%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
City Question 1,Saint Paul W-2 P-14,Election Day Voting,No,,233,50.11%,256,50.10%,457,98.28%,503,98.43%,8,1.72%,8,1.57%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-2 P-14,Absentee Voting,Charlie Castro,,16,8.70%,140,6.85%,92,50.00%,1186,58.02%,92,50.00%,858,41.98%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-2 P-14,Election Day Voting,Charlie Castro,,124,6.67%,140,6.85%,1094,58.82%,1186,58.02%,766,41.18%,858,41.98%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-2 P-14,Absentee Voting,Omar Syed,,8,4.35%,86,4.21%,92,50.00%,1186,58.02%,92,50.00%,858,41.98%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-2 P-14,Election Day Voting,Omar Syed,,78,4.19%,86,4.21%,1094,58.82%,1186,58.02%,766,41.18%,858,41.98%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-2 P-14,Absentee Voting,Jennifer McPherson,,7,3.80%,96,4.70%,92,50.00%,1186,58.02%,92,50.00%,858,41.98%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-2 P-14,Election Day Voting,Jennifer McPherson,,89,4.78%,96,4.70%,1094,58.82%,1186,58.02%,766,41.18%,858,41.98%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-2 P-14,Absentee Voting,Elijah Norris-Holliday,,2,1.09%,40,1.96%,92,50.00%,1186,58.02%,92,50.00%,858,41.98%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-2 P-14,Election Day Voting,Elijah Norris-Holliday,,38,2.04%,40,1.96%,1094,58.82%,1186,58.02%,766,41.18%,858,41.98%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-2 P-14,Absentee Voting,Jessica Kopp,,6,3.26%,153,7.49%,92,50.00%,1186,58.02%,92,50.00%,858,41.98%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-2 P-14,Election Day Voting,Jessica Kopp,,147,7.90%,153,7.49%,1094,58.82%,1186,58.02%,766,41.18%,858,41.98%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-2 P-14,Absentee Voting,Tiffany Fearing,,6,3.26%,82,4.01%,92,50.00%,1186,58.02%,92,50.00%,858,41.98%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-2 P-14,Election Day Voting,Tiffany Fearing,,76,4.09%,82,4.01%,1094,58.82%,1186,58.02%,766,41.18%,858,41.98%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-2 P-14,Absentee Voting,Steve Marchese,,12,6.52%,169,8.27%,92,50.00%,1186,58.02%,92,50.00%,858,41.98%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-2 P-14,Election Day Voting,Steve Marchese,,157,8.44%,169,8.27%,1094,58.82%,1186,58.02%,766,41.18%,858,41.98%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-2 P-14,Absentee Voting,Zuki Ellis,,17,9.24%,182,8.90%,92,50.00%,1186,58.02%,92,50.00%,858,41.98%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-2 P-14,Election Day Voting,Zuki Ellis,,165,8.87%,182,8.90%,1094,58.82%,1186,58.02%,766,41.18%,858,41.98%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-2 P-14,Absentee Voting,Ryan Williams,,6,3.26%,72,3.52%,92,50.00%,1186,58.02%,92,50.00%,858,41.98%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-2 P-14,Election Day Voting,Ryan Williams,,66,3.55%,72,3.52%,1094,58.82%,1186,58.02%,766,41.18%,858,41.98%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-2 P-14,Absentee Voting,Chauntyll Allen,,12,6.52%,166,8.12%,92,50.00%,1186,58.02%,92,50.00%,858,41.98%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-2 P-14,Election Day Voting,Chauntyll Allen,,154,8.28%,166,8.12%,1094,58.82%,1186,58.02%,766,41.18%,858,41.98%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 1st Choice - Select One,Saint Paul W-2 P-15,Absentee Voting,Helen Meyers,,2,3.57%,17,3.30%,52,92.86%,490,95.15%,4,7.14%,25,4.85%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 1st Choice - Select One,Saint Paul W-2 P-15,Election Day Voting,Helen Meyers,,15,3.27%,17,3.30%,438,95.42%,490,95.15%,21,4.58%,25,4.85%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 1st Choice - Select One,Saint Paul W-2 P-15,Absentee Voting,Rebecca Noecker,,29,51.79%,285,55.34%,52,92.86%,490,95.15%,4,7.14%,25,4.85%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 1st Choice - Select One,Saint Paul W-2 P-15,Election Day Voting,Rebecca Noecker,,256,55.77%,285,55.34%,438,95.42%,490,95.15%,21,4.58%,25,4.85%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 1st Choice - Select One,Saint Paul W-2 P-15,Absentee Voting,Bill Hosko,,14,25.00%,140,27.18%,52,92.86%,490,95.15%,4,7.14%,25,4.85%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 1st Choice - Select One,Saint Paul W-2 P-15,Election Day Voting,Bill Hosko,,126,27.45%,140,27.18%,438,95.42%,490,95.15%,21,4.58%,25,4.85%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 1st Choice - Select One,Saint Paul W-2 P-15,Absentee Voting,Sharon Anderson,,1,1.79%,20,3.88%,52,92.86%,490,95.15%,4,7.14%,25,4.85%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 1st Choice - Select One,Saint Paul W-2 P-15,Election Day Voting,Sharon Anderson,,19,4.14%,20,3.88%,438,95.42%,490,95.15%,21,4.58%,25,4.85%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 1st Choice - Select One,Saint Paul W-2 P-15,Absentee Voting,Lindsay Ferris Martin,,6,10.71%,28,5.44%,52,92.86%,490,95.15%,4,7.14%,25,4.85%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 1st Choice - Select One,Saint Paul W-2 P-15,Election Day Voting,Lindsay Ferris Martin,,22,4.79%,28,5.44%,438,95.42%,490,95.15%,21,4.58%,25,4.85%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 4th Choice - Select One,Saint Paul W-2 P-15,Absentee Voting,Helen Meyers,,0,0.00%,26,5.05%,9,16.07%,217,42.14%,47,83.93%,298,57.86%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 4th Choice - Select One,Saint Paul W-2 P-15,Election Day Voting,Helen Meyers,,26,5.66%,26,5.05%,208,45.32%,217,42.14%,251,54.68%,298,57.86%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 4th Choice - Select One,Saint Paul W-2 P-15,Absentee Voting,Rebecca Noecker,,5,8.93%,60,11.65%,9,16.07%,217,42.14%,47,83.93%,298,57.86%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 4th Choice - Select One,Saint Paul W-2 P-15,Election Day Voting,Rebecca Noecker,,55,11.98%,60,11.65%,208,45.32%,217,42.14%,251,54.68%,298,57.86%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 4th Choice - Select One,Saint Paul W-2 P-15,Absentee Voting,Bill Hosko,,2,3.57%,75,14.56%,9,16.07%,217,42.14%,47,83.93%,298,57.86%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 4th Choice - Select One,Saint Paul W-2 P-15,Election Day Voting,Bill Hosko,,73,15.90%,75,14.56%,208,45.32%,217,42.14%,251,54.68%,298,57.86%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 4th Choice - Select One,Saint Paul W-2 P-15,Absentee Voting,Sharon Anderson,,0,0.00%,25,4.85%,9,16.07%,217,42.14%,47,83.93%,298,57.86%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 4th Choice - Select One,Saint Paul W-2 P-15,Election Day Voting,Sharon Anderson,,25,5.45%,25,4.85%,208,45.32%,217,42.14%,251,54.68%,298,57.86%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 4th Choice - Select One,Saint Paul W-2 P-15,Absentee Voting,Lindsay Ferris Martin,,2,3.57%,31,6.02%,9,16.07%,217,42.14%,47,83.93%,298,57.86%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 4th Choice - Select One,Saint Paul W-2 P-15,Election Day Voting,Lindsay Ferris Martin,,29,6.32%,31,6.02%,208,45.32%,217,42.14%,251,54.68%,298,57.86%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 2nd Choice - Select One,Saint Paul W-2 P-15,Absentee Voting,Helen Meyers,,4,7.14%,33,6.41%,33,58.93%,346,67.18%,23,41.07%,169,32.82%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 2nd Choice - Select One,Saint Paul W-2 P-15,Election Day Voting,Helen Meyers,,29,6.32%,33,6.41%,313,68.19%,346,67.18%,146,31.81%,169,32.82%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 2nd Choice - Select One,Saint Paul W-2 P-15,Absentee Voting,Rebecca Noecker,,9,16.07%,97,18.83%,33,58.93%,346,67.18%,23,41.07%,169,32.82%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 2nd Choice - Select One,Saint Paul W-2 P-15,Election Day Voting,Rebecca Noecker,,88,19.17%,97,18.83%,313,68.19%,346,67.18%,146,31.81%,169,32.82%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 2nd Choice - Select One,Saint Paul W-2 P-15,Absentee Voting,Bill Hosko,,9,16.07%,107,20.78%,33,58.93%,346,67.18%,23,41.07%,169,32.82%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 2nd Choice - Select One,Saint Paul W-2 P-15,Election Day Voting,Bill Hosko,,98,21.35%,107,20.78%,313,68.19%,346,67.18%,146,31.81%,169,32.82%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Two 2nd Choice - Select One,Saint Paul W-2 P-15,Absentee Voting,Sharon Anderson,,4,7.14%,54,10.49%,33,58.93%,346,67.18%,23,41.07%,169,32.82%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
